app_id,title,genre,members_count,published,age_days,primary_mechanic,primary_theme,combat,roguelite,overlap,arrow_tapaway,projectile_continues_outside_board,external_targets,external_mobs_or_enemies,bosses,direction_is_resource,board_rotation_or_direction_change,temporary_targets_or_move_windows,run_upgrades,choose_one_of_three,projectile_modifiers,ricochet,pierce,split_or_multishot,chain_or_bounce,elemental_effects
54732019,Arrowbox,Puzzle,155,2026-09-07,9,arrow_tapaway,abstract,none,no,3,yes,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54742775,Стрелариум,Hyper-casual,37,2026-09-14,2,arrow_tapaway,abstract,none,no,3,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54184211,Сортируй Плитки,Puzzle,41102,2025-10-13,338,arrow_tapaway,abstract,none,no,2,yes,no,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54214882,Tank Stars,Arcade,39796,2025-10-16,335,non_puzzle,vehicles,core,no,2,no,no,no,no,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes
54184191,Лабиринт Стрелок Пазл,Puzzle,37107,2026-02-24,204,arrow_tapaway,abstract,none,no,2,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
51543319,Суперпушка,Puzzle,27959,2023-02-27,1297,other_puzzle,abstract,none,no,2,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
51495585,Супер Пинбол,Hyper-casual,23577,2023-03-08,1288,other_puzzle,abstract,none,no,2,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no
54432978,Распутай Стрелки,Puzzle,15274,2026-02-04,224,arrow_tapaway,abstract,none,no,2,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
53344562,Цветные блоки с Чубриками,Puzzle,11017,2025-07-14,429,arrow_tapaway,abstract,none,no,2,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54051411,Bubble Shooter,Arcade,8895,2025-08-18,394,bubble_shooter,abstract,none,no,2,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
54174583,Волшебная Избушка,Adventure,6647,2025-10-02,349,non_puzzle,magic_fantasy,core,yes,2,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
51718605,Нубик Рикошет,Hyper-casual,6129,2023-08-07,1136,other_puzzle,memes_pop_culture,core,no,2,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
51596201,Пуговицы,Puzzle,3723,2023-03-31,1265,other_puzzle,abstract,none,no,2,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
54706915,Тапай Стрелки: Головоломка,Puzzle,3514,2026-08-06,41,arrow_tapaway,abstract,none,no,2,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54629332,Стрелки: Распутай Клубок,Puzzle,3219,2026-06-15,93,arrow_tapaway,abstract,none,no,2,yes,no,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
51915770,Шарики со зверятами,Arcade,2979,2024-05-03,866,bubble_shooter,cute_animals,none,no,2,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes
53339067,Рикошет: охота на монстров,Puzzle,2946,2025-04-04,530,other_puzzle,monsters_combat,core,no,2,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
54657624,Сортируй Стрелки,Puzzle,2509,2026-07-03,75,arrow_tapaway,abstract,none,no,2,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54407509,Зума путь дракона,Three in a row,2289,2026-04-15,154,bubble_shooter,magic_fantasy,core,no,2,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
54699415,Synergrid блок пазл и рогалик,Hyper-casual,2145,2026-08-06,41,block_hexa,abstract,none,yes,2,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no
51863326,Супергерой - Пуля,Hyper-casual,2102,2024-02-26,933,other_puzzle,monsters_combat,core,no,2,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
52378718,Бошки против,Arcade,2062,2026-04-23,146,other_puzzle,monsters_combat,core,no,2,no,no,no,no,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
53582095,Bubble Shooter Meadow & Boost,Hyper-casual,1598,2025-05-22,482,bubble_shooter,farm_garden,none,no,2,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
54728035,Мини футбол - онлайн,Arcade,1422,2026-09-01,15,non_puzzle,realistic_neutral,none,no,2,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
54568590,Лабиринт Стрелок Убери блоки,Puzzle,1255,2026-06-11,97,arrow_tapaway,abstract,none,no,2,yes,no,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
51858139,Love Archer,Hyper-casual,432,2024-03-26,904,other_puzzle,romance_love,none,no,2,no,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54734586,Матрёшки: Бум,Puzzle,152,2026-08-31,16,bubble_shooter,realistic_neutral,none,no,2,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
