app_id,primary_mechanic,secondary_mechanics,primary_theme,secondary_themes,combat,roguelite,meta_layer,arrow_tapaway,projectile_continues_outside_board,external_targets,external_mobs_or_enemies,bosses,direction_is_resource,board_rotation_or_direction_change,temporary_targets_or_move_windows,run_upgrades,choose_one_of_three,projectile_modifiers,ricochet,pierce,split_or_multishot,chain_or_bounce,elemental_effects,confidence_mechanic,confidence_theme,confidence_magic_arrow_features,needs_review,evidence
2808257,non_puzzle,,romance_love,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"играй и знакомься, общение в реальном времени"
2914811,word,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"составляйте слова из букв, игра с друзьями или соперниками"
3069891,non_puzzle,,monsters_combat,,core,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"клановые битвы, боссы; короткое описание"
3083242,non_puzzle,,treasure_adventure,,unknown,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"экспедиция золотоискателя, опасности природы, строй город"
3143330,non_puzzle,,magic_fantasy,monsters_combat,core,no,rpg_progression,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"ролевая игра: битва богов, войско, кровожадные враги"
3144697,non_puzzle,,romance_love,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"бутылочка: крути, целуйся, знакомься, подарки"
3172248,tabletop,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"пасьянс Косынка по 3 карты, расклады и рейтинг"
3579245,non_puzzle,,monsters_combat,,core,no,rpg_progression,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"кубический шутер: оружие, зомби-режим, танки, прокачка, кланы"
3728811,tabletop,,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"монополия онлайн, столы 2-5 человек, сделки, турниры"
3849521,unknown,,treasure_adventure,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,low,medium,low,yes,описание без правил: только приключения кота и сокровища
3882511,match3,,treasure_adventure,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"игра 3 в ряд, уровни и задания, сокровища, пираты"
3885312,non_puzzle,,romance_love,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"игра в бутылочку для общения, флирта и знакомств"
3905499,non_puzzle,,monsters_combat,,core,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"онлайн PvP: армии, ожесточенные бои, война"
4019000,non_puzzle,,magic_fantasy,home_renovation,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"волшебное королевство, маги и феи, восстановить поместье и замок"
4178722,non_puzzle,,farm_garden,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"лесная ферма: грибы, корзинка, кланы грибников"
4245114,merge,,abstract,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"игра 2048, тетрис и пятнашки, логика, лиги и рейтинг"
4249938,match3,,treasure_adventure,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"жанр Three in a row; путешествия, реликвии, коллекции артефактов"
4333086,non_puzzle,,romance_love,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,интерактивный игровой чат для общения и знакомств
4516443,hidden_object,,detective_mystery,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"игра в жанре поиск предметов, тайны Парижа"
4523773,match3,,food_household,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"сладкие приключения в жанре три в ряд, Долина Сладостей"
4571765,match3,,cute_animals,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"игра Три-в-ряд, спаси зверят, спасение животных"
4590904,merge,,space_scifi,,cosmetic,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,high,high,no,соединяй одинаковые фрукты; сбивай пришельцев бомбами и ракетами
4670107,hidden_object,,unknown_mixed,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,"поиск предметов, путешествия, турниры"
4670469,word,,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"составляй слова из букв, раунды, кланы, турниры, прокачка"
4672208,non_puzzle,,romance_love,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"лайкай и флиртуй, любовная коллекция, турниры красоты"
4693053,match3,,monsters_combat,,core,no,rpg_progression,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,medium,no,Match-3 файтинг с элементами RPG по мотивам Смертельной битвы
4722206,tabletop,,treasure_adventure,,none,no,none,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,medium,low,low,yes,пустое описание; только название Пасьянс Джунглей
4739676,hidden_object,,unknown_mixed,,none,no,none,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,medium,low,low,yes,пустое описание; жанр и название Поиск Предметов
4742046,tabletop,picture_reveal,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"Косынка-солитер Клондайк, живые турниры, мини-игры пазлы"
4836341,non_puzzle,,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"200+ слотов, бонусы, турниры, таблица лидеров"
4889857,tabletop,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"русские шашки и поддавки, уничтожить или запереть шашки"
4941028,tabletop,,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"Косынка по три карты, турниры и живые соперники"
5013079,match3,,unknown_mixed,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,"игра три-в-ряд, пройти уровни и собрать Книгу Мудрости"
5143181,non_puzzle,,cute_animals,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"аркада: спаси котят из башни, очки и вещи"
5170657,match3,,space_scifi,,core,no,rpg_progression,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,medium,no,"Match-3 файтинг Star Wars, команда героев, уничтожь Звезду Смерти"
5170726,unknown,,treasure_adventure,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,low,medium,low,yes,только Лучшая игра о пиратах; правил и механики нет
5189403,non_puzzle,,realistic_neutral,,core,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"стратегия реального времени: цивилизация, юниты, война и торговля"
5452475,quiz_trivia,,magic_fantasy,cute_animals,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"угадывай ответы, звезды, путешествие с котом по волшебному миру"
5456261,match3,,cute_animals,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"три в ряд в названии, динамичные уровни, рыжий лисенок"
5457269,quiz_trivia,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"симулятор шоу: 15 вопросов, 4 варианта, подсказки, рейтинги"
5507159,non_puzzle,match3,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,слоты и джекпоты; бонус-игры типа 3 в ряд
5592984,match3,,unknown_mixed,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,"собирайте персонажей в ряды, спасите игрушек"
5625394,match3,,unknown_mixed,cute_animals,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,"жанр три в ряд, путешествия по странам, Вика и Енот"
5643673,match3,,food_household,magic_fantasy,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"три в ряд, уровни с Феей и Зайцем, Малиновый Джем"
5648811,non_puzzle,,romance_love,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,банька: встречи и откровенные знакомства
5671788,non_puzzle,,vehicles,,core,no,rpg_progression,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"танковые сражения реалтайм, взвод, прокачка, базы, операции"
5744979,match3,,farm_garden,,none,no,renovation_story,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,low,no,"три-в-ряд, соединяйте фрукты и овощи, украшайте дачу, 8000 уровней"
5757681,match3,,treasure_adventure,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,low,high,no,"жанр Three in a row, серия Тайны Прошлого; правил в описании нет"
5897962,unknown,,treasure_adventure,monsters_combat,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,low,medium,low,yes,"жанр головоломки без правил; сокровища, экипировка, темные силы"
5925974,tabletop,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"дурак подкидной и переводной, колоды, буркозел"
5989552,other_puzzle,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"классические японские кроссворды, спокойная атмосфера"
6000474,match3,,magic_fantasy,,core,no,rpg_progression,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"MMORPG с боями три-в-ряд из камней и черепов, расы, PvP, кланы"
6002530,non_puzzle,,realistic_neutral,magic_fantasy,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,игровой автомат; зелья и свитки лишь оформление выплат
6004542,tabletop,,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"турнир по игре Длинные нарды, стань чемпионом"
6005780,non_puzzle,,farm_garden,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"ферма: животные, урожай, сады, колхоз и империя"
6035793,tabletop,,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"Зонк игра в кости: комбинации, риск, турниры и дуэли"
6037801,tabletop,,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"Короткие нарды: турниры на 4-8 человек, рекорды"
6053081,non_puzzle,,cute_animals,,none,no,renovation_story,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,low,no,"восстанови заброшенный зоопарк, помоги пушистикам"
6084542,quiz_trivia,,unknown_mixed,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,low,high,no,"загадки из мультфильмов детства, серия Королевство загадок"
6110594,quiz_trivia,,realistic_neutral,,none,no,idle_economy,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,15 вопросов как в шоу; бизнес и пассивный доход с выигрыша
6117747,hidden_object,,unknown_mixed,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"Поиск Отличий с реальными игроками онлайн, соревнуйтесь"
6144268,tabletop,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"классическое Домино: козел, пятерочки, классика, 2-4 игрока"
6165495,non_puzzle,,magic_fantasy,monsters_combat,core,no,rpg_progression,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"RPG: сражения и прокачка, PvP и кланы, победи боссов"
6214836,non_puzzle,,abstract,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"ешь пузырей, расти по лигам, получай награды"
6224767,match3,,magic_fantasy,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,high,high,no,"жанр Three in a row; волшебная книга, сказки и чудеса"
6241407,match3,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,"уровни три-в-ряд, снежинки, украшай елочку"
6243585,non_puzzle,,realistic_neutral,,none,no,idle_economy,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"эконом сим и кликер: строй башню, бизнес, прибыль, рейтинг"
6284740,match3,,unknown_mixed,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,low,high,no,"жанр Three in a row; Летняя История, шарики без правил"
6352380,non_puzzle,,cute_animals,,none,no,renovation_story,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,low,no,"ежики превратят хозяйство в уютную ферму, ежиная долина"
6381463,match3,,farm_garden,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"жанр Three in a row, серия Вега Микс; строй и украшай дачу"
6415141,tabletop,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"Девятка: 3 игрока, 12 карт, первым избавься от карт"
6437957,non_puzzle,,realistic_neutral,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"игровые автоматы, суперигры, онлайн турниры"
6458386,other_puzzle,,horror,detective_mystery,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,high,high,no,"детектив-триллер: психопат Кукловод, квесты, пазлы и головоломки"
6462836,non_puzzle,,magic_fantasy,romance_love,core,no,idle_economy,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"аниме-фэнтези JRPG и IDLE: легион героинь, фракции, автобои"
6486302,non_puzzle,other_puzzle,treasure_adventure,,core,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"стрелялка с элементами головоломки, Хранители Джунглей"
6604566,non_puzzle,match3,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"слоты и джекпоты; доп игры типа 3 в ряд, рейтинги"
6621905,tile_match,,magic_fantasy,,none,no,collection,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"Маджонг солитер: 100+ уровней, волшебная страна, части тотема"
6636413,tabletop,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"Тысяча: взяточная карточная игра, набрать 1000 очков"
6641762,match3,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"жанр Three in a row, серия Вега Микс, 12 уровней, круиз по Волге"
6684680,non_puzzle,,space_scifi,,core,no,rpg_progression,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"башенная оборона: строй башни, волны врагов, усиливаются боссы"
6701819,word,,treasure_adventure,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"викингам нужен предводитель; эрудиция, сокровища и знания"
6711331,non_puzzle,,magic_fantasy,monsters_combat,core,no,rpg_progression,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"стратегия Камелота: рыцари, монстры, кланы, рейды на боссов"
6716212,match3,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,"уровни три-в-ряд, снежинки, украшай елочку, Новый год"
6730076,unknown,,unknown_mixed,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,low,low,low,yes,только Игра покорившая сердца; правил нет
6739930,block_hexa,match3,abstract,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"тетрис и мач-3, игра вдвоем на доске, турниры"
6742416,tile_match,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"находи пары одинаковых карт на время, тренировка памяти"
6745237,match3,,food_household,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"самая сладкая игра 3-в-ряд, симпатичные конфеты"
6773188,tabletop,,horror,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"многопользовательское Бинго реалтайм, турниры, зомби-оформление"
6810744,unknown,,vehicles,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,low,low,low,yes,"только VK Direct Games и Pixi.js; правил нет, в названии машины"
6812327,match3,,home_renovation,,none,no,renovation_story,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,medium,no,"три в ряд, ресурсы, восстановление домов и городов, события"
6815060,non_puzzle,,realistic_neutral,magic_fantasy,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,яркие игры и турниры казино; магия лишь оформление
6830710,match3,,food_household,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"соединяйте сладости в ряд, препятствия, турниры, золото"
6831156,match3,,cute_animals,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"уровни 3 в ряд, создай подводный мир, аквариумные рыбки"
6856353,non_puzzle,,vehicles,,core,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"боевой самолет: маневры, стрельба, сбивай самолеты, рейтинг"
6904672,picture_reveal,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"вышивание крестиком, алмазная вышивка, раскраски по номерам"
6916880,unknown,,realistic_neutral,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,low,medium,low,yes,"онлайн игра с соперниками, стань богатым; правил нет"
6923594,non_puzzle,,treasure_adventure,,cosmetic,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,low,high,no,"выигрывай миллионы, атакуй чужие деревни, забирай золото"
6926012,non_puzzle,,romance_love,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"флирт и знакомства в чате, найди любовь"
6986939,match3,,home_renovation,cute_animals,none,no,renovation_story,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,medium,no,"три-в-ряд, спаси парк, выбирай декор, животные, альянс"
6990632,hidden_object,,cute_animals,,none,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"Поиск отличий онлайн с игроками, Котопоиск"
6994984,bubble_shooter,,magic_fantasy,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"головоломка жанра Zuma, Атлантида, юная волшебница"
6999558,tabletop,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,шахматы онлайн с соперниками реалтайм
7016437,match3,,treasure_adventure,,cosmetic,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,medium,no,"соединяйте сладости три в ряд, король, престол, турниры"
7026809,tabletop,,realistic_neutral,,none,no,rpg_progression,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"Техасский Холдем, путь до Крестного отца, Битва Боссов"
7096306,non_puzzle,,horror,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,medium,medium,low,yes,только Выживи в зомби апокалипсисе; правил нет
7139277,word,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,составляйте слова из перемешанных букв одним взмахом пальца
7139584,match3,,magic_fantasy,food_household,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"уровни 3 в ряд из сладостей, сказочный мир Шармляндии"
7140671,non_puzzle,,monsters_combat,,core,no,pvp_tournament,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"приключения героев, PvP сражения в реальном времени"
7155515,match3,,treasure_adventure,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,low,high,no,"жанр Three in a row; Необитаемый остров, отзыв без правил"
7162962,other_puzzle,,magic_fantasy,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"головоломка о подвижных драконах, кубики"
7183892,match3,,magic_fantasy,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"жанр Three in a row, серия Вега Микс; задания мэра волшебного города"
7194733,other_puzzle,,monsters_combat,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"приключенческая игра: история, диалоги, подземелья, зомби"
7200715,non_puzzle,,magic_fantasy,monsters_combat,core,no,rpg_progression,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"фэнтези-стратегия: сражайся с нечистью, прокачка героя, рейтинг"
7200720,non_puzzle,,vehicles,,core,no,rpg_progression,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"танковые битвы реалтайм, выбор и улучшение танка, слава"
7232341,non_puzzle,,realistic_neutral,magic_fantasy,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,low,high,no,"игровые автоматы, острова, бонус-игры и фриспины"
7275058,non_puzzle,,magic_fantasy,,core,no,collection,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"доспехи, хаос в Средиземье, собери братву, глумись над боссами"
7292231,match3,,magic_fantasy,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"головоломка три в ряд, комбинации самоцветов, магия сказок"
7328587,tabletop,,magic_fantasy,,cosmetic,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,medium,no,"пасьянс и магия карт; чародеи борются, но играется солитер"
7334530,other_puzzle,,cute_animals,,none,no,collection,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,high,high,no,"головоломка: прогулки со сбором, комбинации из карточек, наряды"
7352873,quiz_trivia,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,угадай слово по 4 картинкам
7363593,non_puzzle,,treasure_adventure,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,жанр Gambling; Вперед на поиски сокровищ
7384081,match3,,farm_garden,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,high,no,"матч-3: собирай ягодки и капли, восстанови лес, сажай деревья"
7399865,non_puzzle,,unknown_mixed,,none,no,other,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,high,no,"портал VMMO: задания, магазин, подписка, конкурсы, а не игра"
7403632,quiz_trivia,,realistic_neutral,,none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,high,no,"викторина 2021 года, развивай IQ"
