bucket,bucket_kind,app_id,title,genre,match_strength,reasons,members_count,published,age_days,rank_growth_rate,rank_popular_week,rank_popular_today,hot_top300
arrow_tapaway,mechanic,54613781,Куб стрелок,Puzzle,strong,desc:убрать все стрелк,1592,2026-06-02,106,3175,2950,2952,0
arrow_tapaway,mechanic,54643096,Распутай змей,Puzzle,strong,title:распута,1237,2026-07-02,76,2219,3780,3822,0
arrow_tapaway,mechanic,54335423,Разблок Пазл,Puzzle,strong,desc:unpuzzle,953,2025-11-21,299,2905,3744,3746,0
arrow_tapaway,mechanic,54655149,Куб и Стрелки - разбери,Puzzle,strong,title:стрелк,688,2026-07-03,75,3650,2880,2875,0
arrow_tapaway,mechanic,54608047,Hexa Slink: Tap Away Puzzle,Puzzle,strong,title:tap away; desc:tap away,682,2026-07-10,68,3848,4024,4025,0
arrow_tapaway,mechanic,54723170,Стрелки - Найди выход,Puzzle,strong,"title:стрелк; desc:стрелки, которые могут выйти без препятс",593,2026-08-21,26,1433,4279,4279,0
arrow_tapaway,mechanic,54723115,КликТап Стрелки,Puzzle,strong,title:стрелк,493,2026-08-21,26,2629,3982,3983,0
arrow_tapaway,mechanic,54702801,Пульс стрелок,Puzzle,strong,"desc:стрелке, если путь в ее направлении своб",430,2026-09-04,12,793,3554,3521,0
arrow_tapaway,mechanic,54732019,Arrowbox,Puzzle,strong,"desc:стрелками, где нужно полностью очист",155,2026-09-07,9,1933,4457,4459,0
arrow_tapaway,mechanic,53992911,Двигай Цветные Блоки,Puzzle,strong,desc:unpuzzle,67,2025-08-05,407,4728,4117,4109,0
arrow_tapaway,mechanic,2247474,Лабиринт,Puzzle,weak,title_weak:лабиринт,1394435,2011-03-29,5650,3560,4832,4833,0
arrow_tapaway,mechanic,8005097,Покрась Лабиринт,Hyper-casual,weak,title_weak:лабиринт,624048,2021-11-22,1759,4566,3294,3295,0
arrow_tapaway,mechanic,51559466,Зелёный Лабиринт,Adventure,weak,title_weak:лабиринт,167380,2023-02-27,1297,380,903,,0
arrow_tapaway,mechanic,7605538,🎯Рейчел Холмс: найди отличия,Puzzle,weak,desc_weak:распутыва,165164,2020-09-24,2183,1175,932,,0
arrow_tapaway,mechanic,7675528,Лабиринт Контроль,Puzzle,weak,title_weak:лабиринт,106069,2020-11-24,2122,3894,3963,3955,0
arrow_tapaway,mechanic,8192045,Конструктор труб: лабиринт,Puzzle,weak,title_weak:лабиринт,96732,2022-06-28,1541,1699,1088,2465,0
arrow_tapaway,mechanic,7702952,Числовой Лабиринт,Puzzle,weak,title_weak:лабиринт,55545,2020-12-18,2098,4946,4428,4429,0
arrow_tapaway,mechanic,53138411,Симулятор Парковки 2025,Racing,weak,desc_weak:стрелк,47067,2025-02-25,568,481,1396,,0
arrow_tapaway,mechanic,54184211,Сортируй Плитки,Puzzle,weak,desc_weak:стрелк,41102,2025-10-13,338,4512,769,569,0
arrow_tapaway,mechanic,53917906,Бу Испугался 7: Лето,Adventure,weak,desc_weak:распута,37696,2025-07-17,426,674,1616,,0
arrow_tapaway,mechanic,7969380,Поп Ит Лабиринт: Попыт Мания,Puzzle,weak,title_weak:лабиринт,37680,2021-10-11,1801,4921,1633,639,0
arrow_tapaway,mechanic,53695641,Бу Испугался 6: Цирк Италии,Adventure,weak,desc_weak:распутыва,37282,2025-06-05,468,1978,1459,598,0
arrow_tapaway,mechanic,54579601,Разбери Кубик 2026,Puzzle,weak,desc_weak:стрелк,36042,2026-05-13,126,4927,1023,517,0
arrow_tapaway,mechanic,51911415,Пасьянс криминальные истории,Puzzle,weak,desc_weak:распута,27711,2024-04-23,876,2888,1372,301,0
arrow_tapaway,mechanic,8183676,Бесконечный лабиринт,Hyper-casual,weak,title_weak:лабиринт,21625,2022-06-05,1564,4912,2086,655,0
arrow_tapaway,mechanic,51731336,Лабиринт: побег от монстра,Arcade,weak,title_weak:лабиринт; desc_weak:стрелочк,21222,2023-08-18,1125,2689,2365,2770,0
arrow_tapaway,mechanic,51470914,Кубик Разберубик,Puzzle,weak,desc_weak:кубики и они будут вылета,20134,2022-12-28,1358,2655,2188,1673,0
arrow_tapaway,mechanic,51427204,Стикмэн: Меткий Стрелок,Puzzle,weak,title_weak:стрелок,13258,2022-09-19,1458,4751,4016,4017,0
arrow_tapaway,mechanic,8220556,Плитки Лабиринт,Hyper-casual,weak,title_weak:лабиринт,12598,2022-11-02,1414,4453,1863,650,0
arrow_tapaway,mechanic,53344562,Цветные блоки с Чубриками,Puzzle,weak,"desc_weak:блоками, которые необходимо распутать и ",11017,2025-07-14,429,2485,2701,,0
arrow_tapaway,mechanic,51871349,Запутанные линии,Puzzle,weak,desc_weak:распута,9030,2024-07-24,784,4679,2262,2408,0
arrow_tapaway,mechanic,7814363,Монстр Слайд,Puzzle,weak,desc_weak:стрелк,8410,2021-04-05,1990,3590,4983,4983,0
arrow_tapaway,mechanic,8216701,🧱Лабиринт,Puzzle,weak,title_weak:лабиринт,7858,2022-08-10,1498,4793,2029,837,0
arrow_tapaway,mechanic,8205706,Физический лабиринт,Puzzle,weak,title_weak:лабиринт,7191,2022-06-29,1540,3870,1961,924,0
arrow_tapaway,mechanic,8192572,Физический лабиринт 2,Puzzle,weak,title_weak:лабиринт,6859,2022-07-12,1527,4479,4762,4763,0
arrow_tapaway,mechanic,51718605,Нубик Рикошет,Hyper-casual,weak,desc_weak:стрелк,6129,2023-08-07,1136,1376,2483,,0
arrow_tapaway,mechanic,54621697,Веломастер,Arcade,weak,desc_weak:стрелк,6069,2026-06-08,100,3928,2538,947,0
arrow_tapaway,mechanic,52977265,Болтики: Сортировка,Puzzle,weak,desc_weak:распутыва,5628,2026-06-30,78,1595,2106,1112,0
arrow_tapaway,mechanic,54416559,Семейное Дерево,Puzzle,weak,desc_weak:распута,5494,2026-01-21,238,2810,2560,2778,0
arrow_tapaway,mechanic,54722886,Головоломка: Закрась лабиринт,Puzzle,weak,title_weak:лабиринт,5086,2026-09-04,12,213,,,1
arrow_tapaway,mechanic,54643911,Шерстеплёт,Arcade,weak,desc_weak:распутыва,5046,2026-07-13,65,2750,433,2528,0
arrow_tapaway,mechanic,54731799,Сканворд: Поменяй Буквы,Word game,weak,desc_weak:стрелк,4759,2026-08-27,20,2937,846,,0
arrow_tapaway,mechanic,51913596,Парковка авто в городе,Simulator,weak,desc_weak:стрелк,4718,2024-05-03,866,2579,4917,4917,0
arrow_tapaway,mechanic,54653215,Шарик в лабиринте,Hyper-casual,weak,title_weak:лабиринт,4457,2026-07-03,75,3885,1384,522,0
arrow_tapaway,mechanic,52328332,Разбери кубик из блоков,Puzzle,weak,desc_weak:стрелк,4073,2024-09-24,722,,4347,4348,0
arrow_tapaway,mechanic,51524227,Раскраска Лабиринта,Puzzle,weak,title_weak:лабиринт,3974,2023-01-12,1343,4717,4377,4378,0
arrow_tapaway,mechanic,54730119,Оплот: Осада замков,Strategy,weak,desc_weak:стрелк,3849,2026-08-27,20,1818,1790,146,1
arrow_tapaway,mechanic,54496464,Цветы: Соединяй и Продавай,Puzzle,weak,desc_weak:стрелк,3485,2026-04-01,168,3752,1151,948,0
arrow_tapaway,mechanic,51926818,Лабиринт Труб,Puzzle,weak,title_weak:лабиринт,3476,2024-05-27,842,4455,585,652,0
arrow_tapaway,mechanic,54617048,Tileswale: Школа Чародейства,Three in a row,weak,desc_weak:распутыва,3333,2026-06-16,92,3429,664,874,0
arrow_tapaway,mechanic,54343105,Мастер узлов,Arcade,weak,desc_weak:распута,3067,2025-12-19,271,2200,3548,3558,0
arrow_tapaway,mechanic,52796578,Снежный замес: игра-лабиринт,Puzzle,weak,title_weak:лабиринт,2764,2024-12-23,632,3675,3185,3187,0
arrow_tapaway,mechanic,54449328,NonoCross Японские кроссворды,Puzzle,weak,desc_weak:распутыва,2257,2026-04-07,162,1871,2925,2936,0
arrow_tapaway,mechanic,53371848,Сортировка птиц,Puzzle,weak,desc_weak:стрелк,2040,2025-04-02,532,2491,3536,,0
arrow_tapaway,mechanic,53981531,Волшебная Сага: Три в ряд,Three in a row,weak,desc_weak:распутыва,1548,2025-08-18,394,3766,3422,3398,0
arrow_tapaway,mechanic,54289236,Цветные Катушки,Hyper-casual,weak,desc_weak:распута,1533,2025-11-06,314,4386,4548,4549,0
arrow_tapaway,mechanic,54686517,Спаси семью от змей,Puzzle,weak,desc_weak:стрелк,1264,2026-08-03,44,57,3556,3532,1
arrow_tapaway,mechanic,54568590,Лабиринт Стрелок Убери блоки,Puzzle,weak,title_weak:лабиринт; desc_weak:стрелк,1255,2026-06-11,97,2765,2820,2867,0
arrow_tapaway,mechanic,54611496,Сортировка пряжи: Вызов,Puzzle,weak,desc_weak:распутыва,1203,2026-06-01,107,4694,2849,2844,0
arrow_tapaway,mechanic,51889455,Цветной лабиринт Поиск Звезды,Puzzle,weak,title_weak:лабиринт,1134,2024-03-29,901,1941,3094,3095,0
arrow_tapaway,mechanic,51937967,Мастер клубков,Hyper-casual,weak,desc_weak:распута,576,2024-06-03,835,2743,3015,3017,0
arrow_tapaway,mechanic,53546633,Закрась Лабиринт,Hyper-casual,weak,title_weak:лабиринт,417,2025-07-08,435,1536,4847,4847,0
arrow_tapaway,mechanic,53350179,Да будет свет! Головоломка,Puzzle,weak,desc_weak:распута,406,2025-04-11,523,4057,4981,4981,0
arrow_tapaway,mechanic,54308038,НеЛабиринт - Not a Maze,Puzzle,weak,title_weak:лабиринт,391,2025-12-05,285,2728,4701,4703,0
arrow_tapaway,mechanic,51875817,Числовой лабиринт,Puzzle,weak,title_weak:лабиринт,381,2024-03-13,917,2602,4795,4796,0
arrow_tapaway,mechanic,54749981,Дедоку - Детективное судоку,Puzzle,weak,desc_weak:распута,319,2026-09-08,8,686,3830,3806,0
arrow_tapaway,mechanic,51843834,Кубикойд лабиринт,Hyper-casual,weak,title_weak:лабиринт,307,2024-02-05,954,2252,4972,4972,0
arrow_tapaway,mechanic,54250604,Гирлянды Графа,Puzzle,weak,desc_weak:распута,286,2025-10-20,331,4056,4984,4984,0
arrow_tapaway,mechanic,54107973,Вопрос дня,Puzzle,weak,desc_weak:распутыва,67,2025-09-16,365,3554,4754,4755,0
arrow_tapaway,mechanic,54742775,Стрелариум,Hyper-casual,weak,desc_weak:стрелк,37,2026-09-14,2,796,,3396,0
arrow_tapaway,mechanic,54759951,Колорит,Puzzle,weak,desc_weak:стрелк,2,2026-09-16,0,4928,3188,3190,0
sort,mechanic,51991602,По полочкам: Сортировка,Three in a row,strong,title:по полочкам; desc:сортир,299190,2024-07-29,779,49,63,250,1
sort,mechanic,51918751,Шарики в колбах,Three in a row,strong,desc:сортир,208167,2024-05-07,862,162,159,477,1
sort,mechanic,54255702,Болты и гайки: сортировка,Puzzle,strong,title:сортир; desc:сортир,177003,2025-10-27,324,80,108,307,1
sort,mechanic,54380425,Яга: Зелья судьбы,Puzzle,strong,desc:сортир,129265,2026-06-24,84,122,93,36,1
sort,mechanic,54174190,Сортировка Болтомания,Puzzle,strong,title:сортир; desc:сортир,96177,2025-10-13,338,1397,430,230,1
sort,mechanic,52740328,Сортировка вещей в шкафу,Three in a row,strong,title:сортир; desc:сортир,89533,2024-11-26,659,215,672,,1
sort,mechanic,52904486,Безумная парковка,Puzzle,strong,desc:сортир,87243,2025-03-06,559,378,552,458,0
sort,mechanic,54539273,Разбери Стрелочки,Puzzle,strong,desc:сортир,81470,2026-04-16,153,78,95,78,1
sort,mechanic,7797078,Головоломка сортировка шаров,Puzzle,strong,title:сортир; desc:сортир,71972,2021-03-21,2005,2724,990,1917,0
sort,mechanic,52847608,Болты и Гайки - Сортировка,Puzzle,strong,title:сортир; desc:сортир,62834,2024-12-23,632,3314,627,,0
sort,mechanic,53475510,Реагенты,Puzzle,strong,desc:перелива,58694,2025-04-28,506,562,688,,0
sort,mechanic,54184207,Волшебные Бутылки,Puzzle,strong,desc:сортир,57962,2026-02-24,204,25,92,27,1
sort,mechanic,52705366,Гений продаж 3D - сортировка,Three in a row,strong,title:сортир; desc:сортир,50944,2024-11-22,663,4545,674,1777,0
sort,mechanic,7791760,Сортировка по цвету,Puzzle,strong,title:сортир; desc:сортир,42587,2021-03-16,2010,4190,3831,3807,0
sort,mechanic,54184211,Сортируй Плитки,Puzzle,strong,title:сортир; desc:сортир,41102,2025-10-13,338,4512,769,569,0
sort,mechanic,51928211,Сортировка Эмодзи!,Three in a row,strong,title:сортир; desc:сортир,40946,2024-05-24,845,3827,824,1130,0
sort,mechanic,54496145,Солитер Цепочка Слов,Word game,strong,desc:сортир,39950,2026-04-08,161,533,282,103,1
sort,mechanic,52402295,Три в ряд. Фабрика слияний,Three in a row,strong,desc:сортир,38706,2024-10-04,712,1577,1493,245,1
sort,mechanic,52896454,Плиточки: Сортировка,Three in a row,strong,title:сортир; desc:сортир,37568,2025-01-29,595,413,540,,0
sort,mechanic,52382922,Сортировка плиток,Puzzle,strong,title:сортир; desc:сортир,31658,2024-09-30,716,1949,607,1796,0
sort,mechanic,7773901,Сортировка,Puzzle,strong,title:сортир; desc:сортир,29630,2021-02-28,2026,1836,2166,1972,0
sort,mechanic,51533334,Мастер сортировки мячей,Puzzle,strong,title:сортир; desc:сортир,28561,2023-01-27,1328,,3749,3649,0
sort,mechanic,52755162,Фишечки,Hyper-casual,strong,desc:сортир,28283,2024-11-27,658,553,1357,,0
sort,mechanic,53082679,Сортировка Машин: по парковке,Puzzle,strong,title:сортир,26449,2025-02-17,576,890,1649,,0
sort,mechanic,52846943,Бесконечные Коробки,Puzzle,strong,desc:сортир,25394,2025-04-16,518,3753,1740,,0
sort,mechanic,52899915,Цветные Гайки,Puzzle,strong,desc:сортир,24807,2025-01-09,615,2239,1077,,0
sort,mechanic,51517117,Головоломка типа воды,Puzzle,strong,desc:water sort,22373,2023-01-10,1345,1546,2211,2420,0
sort,mechanic,53013570,Сортировка: женские штучки,Three in a row,strong,title:сортир,21780,2025-02-11,582,2630,1936,981,0
sort,mechanic,52753042,Сортировка жидкости в колбах,Puzzle,strong,title:сортир; desc:сортир,20725,2024-11-27,658,,1817,1090,0
sort,mechanic,54567036,Солитер: Ассоциации,Word game,strong,desc:сортир,19904,2026-04-30,139,,1254,427,0
sort,mechanic,51567810,Копатели,Adventure,strong,desc:перелива,18350,2023-03-02,1294,1331,2102,,0
sort,mechanic,54661725,Слияние пузырей,Puzzle,strong,desc:сортир,17921,2026-07-08,70,100,215,54,1
sort,mechanic,54155240,ЭкоЛис Сортировка,Puzzle,strong,title:сортир; desc:сортир,17843,2025-09-24,357,,1981,1174,0
sort,mechanic,51727306,Цепи Сортировка,Puzzle,strong,title:сортир,16073,2023-08-14,1129,3182,2464,2391,0
sort,mechanic,52917333,Гараж Ника - сортируй машины!,Simulator,strong,title:сортир; desc:сортир,14370,2025-02-07,586,2010,2787,,0
sort,mechanic,53178685,Гекса Мастер,Puzzle,strong,desc:sort,14283,2025-03-06,559,1896,1026,1722,0
sort,mechanic,53614048,Cash Clean Simulator,Simulator,strong,desc:сортир,13999,2025-06-16,457,936,2760,,0
sort,mechanic,8207380,Конфетки,Puzzle,strong,desc:сортир,13988,2022-07-12,1527,2342,2492,1970,0
sort,mechanic,52813474,Магическая сортировка,Three in a row,strong,title:сортир; desc:сортир,13846,2024-12-09,646,4956,1109,890,0
sort,mechanic,53480720,Пиратский Рай,Puzzle,strong,desc:сортир,13644,2025-04-24,510,,960,1203,0
sort,mechanic,54468944,Магия Цвета ✨,Puzzle,strong,desc:сортир,13336,2026-06-05,103,980,251,28,1
sort,mechanic,54583313,Гайки и Болты - Сортировка!,Puzzle,strong,title:сортир; desc:сортир,13331,2026-05-26,113,92,399,305,1
sort,mechanic,53021580,По полочкам: игра-сортировка,Three in a row,strong,title:по полочкам; desc:сортир,13277,2025-02-18,575,4814,1597,589,0
sort,mechanic,52850855,Порядок на полках,Puzzle,strong,desc:сортир,11927,2024-12-16,639,1463,1497,,0
sort,mechanic,52851428,Коты-циркачи: всё по полочкам,Puzzle,strong,title:по полочкам; desc:по полочкам,11661,2024-12-20,635,2929,2703,1058,0
sort,mechanic,51916382,Сортируй шарики,Puzzle,strong,title:сортир,11502,2024-05-02,867,2335,2661,2364,0
sort,mechanic,53038500,Спасай цветы: сортировка,Three in a row,strong,title:сортир; desc:сортир,10508,2025-02-18,575,3495,2650,718,0
sort,mechanic,52901297,Гекса Квест,Puzzle,strong,desc:сортир,9726,2025-01-14,610,3971,1852,1864,0
sort,mechanic,53515711,Зверята по полочкам,Three in a row,strong,title:по полочкам; desc:по полочкам,9079,2025-04-30,504,4097,2165,2789,0
sort,mechanic,52052723,Мастер по Зельям 3D,Puzzle,strong,desc:сортир,8864,2024-08-09,768,4804,1495,812,0
sort,mechanic,54411310,Занимательные жидкости,Puzzle,strong,desc:перелива,7747,2026-01-16,243,3695,2630,2703,0
sort,mechanic,54500920,Побег Овец: Сортировка Фермы,Puzzle,strong,title:сортир; desc:сортир,7496,2026-03-25,175,2742,1918,1977,0
sort,mechanic,54468287,Цветы по местам,Puzzle,strong,desc:сортир,7337,2026-03-03,197,4781,813,818,0
sort,mechanic,54598270,Сортировка кругов,Puzzle,strong,title:сортир; desc:сортир,7156,2026-05-22,117,1115,625,1063,0
sort,mechanic,54670833,Полки: Три в Ряд,Three in a row,strong,title:полки; desc:сортир,6943,2026-07-13,65,3792,1478,1169,0
sort,mechanic,54143992,Sort Puzzle,Arcade,strong,title:sort; desc:sort,6743,2025-09-16,365,2296,2005,982,0
sort,mechanic,51926565,Пьяница карты онлайн,Tabletop game,strong,desc:сортир,6714,2024-05-20,849,3070,3086,3087,0
sort,mechanic,54027484,Сортировка: уютный порядок,Three in a row,strong,title:сортир; desc:сортир,6544,2025-09-24,357,583,947,329,0
sort,mechanic,51549677,2048 Сортировка шариков,Puzzle,strong,title:сортир; desc:сортир,6530,2023-02-21,1303,1263,318,704,0
sort,mechanic,54481329,Сортировка бубликов,Puzzle,strong,title:сортир; desc:сортир,6418,2026-03-20,180,2276,934,2276,0
sort,mechanic,54454139,Сортировка птиц: Квест,Puzzle,strong,title:сортир; desc:сортир,5963,2026-02-17,211,3693,751,2679,0
sort,mechanic,52977265,Болтики: Сортировка,Puzzle,strong,title:сортир; desc:сортир,5628,2026-06-30,78,1595,2106,1112,0
sort,mechanic,54649914,Пасьянс Собери картинки,Tabletop game,strong,desc:сортир,5626,2026-07-20,58,4543,1285,1768,0
sort,mechanic,54254065,Гайки и болты: сортировка,Puzzle,strong,title:сортир; desc:сортир,5605,2025-10-22,329,3158,2914,2916,0
sort,mechanic,54303118,Соединяй Колбы!,Puzzle,strong,desc:перелива,5400,2025-11-07,313,1102,1072,1851,0
sort,mechanic,54662458,Болты Сортировка,Puzzle,strong,title:сортир,5395,2026-07-07,71,2054,2806,2811,0
sort,mechanic,51740272,Шарики Дзен,Arcade,strong,desc:перелива,5248,2023-09-29,1083,3164,968,2387,0
sort,mechanic,54467048,Блеск Самоцветов - Три в Ряд,Three in a row,strong,desc:перелива,5206,2026-03-06,194,2320,1239,2782,0
sort,mechanic,54643911,Шерстеплёт,Arcade,strong,desc:сортир,5046,2026-07-13,65,2750,433,2528,0
sort,mechanic,54644271,Стрелочки - Построй свой Дом,Puzzle,strong,desc:сортир,5036,2026-07-13,65,4553,1819,1674,0
sort,mechanic,54305838,Роблокс Обби: Спаси Новый Год,Arcade,strong,desc:перелива,4907,2025-11-17,303,872,4559,4561,0
sort,mechanic,52139382,Хекса,Hyper-casual,strong,desc:сортир,4890,2024-08-21,756,4468,1447,671,0
sort,mechanic,54341878,По порядку: Сортировка суши,Puzzle,strong,title:сортир; desc:сортир,4579,2025-11-24,296,4355,874,861,0
sort,mechanic,51650749,Поезда,Puzzle,strong,desc:сортир,4510,2023-05-19,1216,2286,390,836,0
sort,mechanic,54046127,Сэндтрис,Puzzle,strong,desc:перелива,4465,2025-09-11,370,4089,799,2680,0
sort,mechanic,53682511,По капле - Логическая игра,Puzzle,strong,desc:сортир,4400,2025-06-06,467,3698,3300,3301,0
sort,mechanic,53759483,Весёлый Шашлык,Hyper-casual,strong,desc:сортир,4283,2025-08-05,407,4383,1084,627,0
sort,mechanic,54711008,Сортировка колб: Зелья,Puzzle,strong,title:сортир; desc:сортир,4216,2026-08-14,33,874,1183,2460,0
sort,mechanic,53512514,Кубики Сортировка,Puzzle,strong,title:сортир,3912,2025-04-30,504,4077,2776,2714,0
sort,mechanic,54214533,Расхламление квартиры!,Hyper-casual,strong,desc:сортир,3889,2025-10-08,343,1685,1261,753,0
sort,mechanic,53477758,Сортировка Сидений,Hyper-casual,strong,title:сортир; desc:сортир,3713,2025-04-24,510,3663,3116,3081,0
sort,mechanic,53267140,Цветные Веревки,Hyper-casual,strong,desc:сортир,3705,2025-04-14,520,1480,3007,3009,0
sort,mechanic,54651903,Котовасия,Puzzle,strong,desc:сортир,3704,2026-07-02,76,2167,392,2506,0
sort,mechanic,51662604,Головоломка с Птицами,Puzzle,strong,desc:сортир,3633,2023-06-13,1191,2942,3967,3968,0
sort,mechanic,54707848,CAT SORT,Puzzle,strong,title:sort; desc:sort,3342,2026-08-06,41,4264,1849,1269,0
sort,mechanic,54617048,Tileswale: Школа Чародейства,Three in a row,strong,desc:по полочкам,3333,2026-06-16,92,3429,664,874,0
sort,mechanic,53544548,Сортировка веревок,Hyper-casual,strong,title:сортир; desc:сортир,3248,2025-05-12,492,3731,3882,3788,0
sort,mechanic,54686636,Конфетки: Сортировка,Puzzle,strong,title:сортир; desc:сортир,3228,2026-08-17,30,4487,332,2728,0
sort,mechanic,54696200,Water Sort: Сортировка воды,Puzzle,strong,title:sort; desc:перелива,3169,2026-07-31,47,3817,3732,3700,0
sort,mechanic,52238387,Пробирочки 2.0,Hyper-casual,strong,desc:сортир,2990,2024-09-09,737,4460,4783,4784,0
sort,mechanic,52444576,Агентство Сортировки,Hyper-casual,strong,title:сортир; desc:сортир,2967,2024-10-09,707,1713,4638,3168,0
sort,mechanic,51906347,Сортируй,Hyper-casual,strong,title:сортир; desc:сортир,2908,2024-04-22,877,4476,367,679,0
sort,mechanic,52207855,Милые Мордашки: Сортировка,Three in a row,strong,title:сортир; desc:сортир,2734,2024-08-27,750,3011,4273,4273,0
sort,mechanic,54657624,Сортируй Стрелки,Puzzle,strong,title:сортир; desc:сортир,2509,2026-07-03,75,3623,1351,2683,0
sort,mechanic,54066583,Верёвочки,Puzzle,strong,desc:сортир,2494,2025-08-22,390,1496,3569,,0
sort,mechanic,54439262,Сортировка Карт,Puzzle,strong,title:сортир; desc:сортир,2422,2026-02-06,222,2903,397,,0
sort,mechanic,53042807,Капибары: Золотая лихорадка,Hyper-casual,strong,desc:сортир,2294,2025-03-03,562,1014,2710,1731,0
sort,mechanic,51559734,2048 Пазл,Puzzle,strong,desc:сортир,2242,2023-02-21,1303,,3067,3069,0
sort,mechanic,53369519,Монетки,Puzzle,strong,desc:сортир,2201,2025-04-02,532,4293,4025,4026,0
sort,mechanic,53308488,Сортировка мячей,Hyper-casual,strong,title:сортир; desc:сортир,2189,2025-03-24,541,2601,4828,4829,0
sort,mechanic,51475309,Сортировка Шариков,Puzzle,strong,title:сортир; desc:сортир,2158,2022-12-06,1380,4451,4103,4104,0
sort,mechanic,54703143,Релакс игра - Аптека алхимика,Puzzle,strong,desc:water sort,2087,2026-08-05,42,4684,3070,3064,0
sort,mechanic,54698931,Склад 24 на 7,Arcade,strong,desc:сортир,2086,2026-08-07,40,2425,3254,3264,0
sort,mechanic,51734887,Сортировка пончиков,Puzzle,strong,title:сортир; desc:сортир,2078,2023-08-24,1119,2820,2831,2835,0
sort,mechanic,54422234,Сортируй шестиугольники,Puzzle,strong,title:сортир; desc:сортир,2064,2026-01-28,231,4435,4737,4738,0
sort,mechanic,54708779,Игра сортировка по полочкам,Three in a row,strong,title:сортир; desc:сортир,2045,2026-08-12,35,1800,3381,3364,0
